Title: Identification of Likely Methane Absorption Features in the Optical 
       Spectra of Titan
Authors: Sithajan S., Kaewbiang L., Jones H.R.A., Rittipruk P., Meethong S.
Table: Intrinsic Titan spectral data from UVES observations
================================================================================
Byte-by-byte Description of file: datafileA2.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1-  8 F8.3   10-10m   Wave   Wavelength in vacuum; Angstroms
  10- 14 F5.3   ---      Flux   Relative flux (1)
  16- 20 F5.3   ---    e_Flux   Uncertainty in Flux (2)
--------------------------------------------------------------------------------
Note (1): Normalized Titan spectrum with the best-fit background removed.
Note (2): Variation in the relative flux across the 15 individual spectra.
--------------------------------------------------------------------------------
5409.762 0.995 0.002 
5409.777 0.994 0.002 
5409.793 0.993 0.002 
5409.808 0.992 0.003 
5409.823 0.993 0.002 
5409.839 0.993 0.002 
5409.854 0.995 0.002 
5409.869 0.997 0.003 
5409.885 0.996 0.003 
5409.900 0.995 0.004 
5409.915 0.995 0.004 
5409.931 0.996 0.002 
5409.946 0.998 0.003 
5409.961 0.999 0.003 
5409.977 1.000 0.003 
5409.992 1.001 0.002 
5410.007 1.001 0.002 
5410.023 1.002 0.003 
5410.038 1.002 0.003 
5410.053 0.999 0.002 
5410.069 1.000 0.002 
5410.084 1.001 0.002 
5410.099 1.001 0.002 
5410.115 0.999 0.001 
5410.130 0.998 0.001 
5410.145 0.996 0.002 
5410.161 0.996 0.002 
5410.176 0.995 0.001 
5410.191 0.995 0.001 
5410.207 0.997 0.002 
5410.222 0.999 0.000 
5410.237 0.999 0.002 
5410.253 1.000 0.001 
5410.268 1.000 0.002 
5410.284 1.000 0.002 
5410.299 1.002 0.002 
5410.314 1.002 0.002 
5410.330 1.001 0.002 
5410.345 1.000 0.002 
5410.360 1.001 0.002 
5410.376 1.001 0.002 
5410.391 1.000 0.001 
5410.406 1.001 0.002 
5410.422 0.999 0.003 
5410.437 0.999 0.003 
5410.452 0.999 0.001 
5410.468 0.999 0.003 
5410.483 1.001 0.003 
5410.498 1.000 0.003 
5410.514 0.999 0.003 
5410.529 0.998 0.002 
5410.544 0.997 0.001 
5410.560 0.996 0.004 
5410.575 0.995 0.010 
5410.590 0.994 0.018 
5410.606 0.994 0.020 
5410.621 0.994 0.019 
5410.636 0.999 0.017 
5410.652 1.011 0.016 
5410.667 1.016 0.015 
5410.682 1.020 0.015 
5410.698 1.027 0.017 
5410.713 1.028 0.015 
5410.728 1.013 0.014 
5410.744 0.999 0.012 
5410.759 0.993 0.009 
5410.774 0.994 0.005 
5410.790 0.995 0.004 
5410.805 0.994 0.003 
5410.820 0.994 0.003 
5410.836 0.994 0.003 
5410.851 0.995 0.002 
5410.866 0.996 0.003 
5410.882 0.997 0.003 
5410.897 0.997 0.003 
5410.912 0.997 0.002 
5410.928 0.998 0.002 
5410.943 0.997 0.003 
5410.959 0.997 0.004 
5410.974 0.997 0.004 
5410.989 0.999 0.005 
5411.005 0.999 0.006 
5411.020 1.001 0.005 
5411.035 1.002 0.003 
5411.051 1.001 0.004 
5411.066 1.001 0.003 
5411.081 1.001 0.003 
5411.097 0.998 0.005 
5411.112 0.996 0.005 
5411.127 0.995 0.006 
5411.143 0.995 0.007 
5411.158 0.993 0.006 
5411.173 0.991 0.006 
5411.189 0.989 0.004 
5411.204 0.991 0.007 
5411.219 0.994 0.018 
5411.235 0.991 0.034 
5411.250 0.988 0.043 
5411.265 0.993 0.044 
5411.281 1.006 0.041 
5411.296 1.029 0.035 
5411.311 1.038 0.036 
5411.327 1.061 0.037 
5411.342 1.068 0.047 
5411.357 1.086 0.050 
5411.373 1.086 0.049 
5411.388 1.061 0.046 
5411.403 1.025 0.039 
5411.419 1.002 0.025 
5411.434 0.994 0.014 
5411.449 0.994 0.009 
5411.465 0.995 0.004 
5411.480 0.994 0.004 
5411.495 0.994 0.004 
5411.511 0.996 0.004 
5411.526 0.999 0.004 
5411.541 0.999 0.004 
5411.557 0.999 0.005 
5411.572 0.999 0.005 
5411.587 0.999 0.005 
5411.603 0.998 0.004 
5411.618 0.999 0.004 
5411.633 0.998 0.005 
5411.649 0.998 0.005 
5411.664 0.998 0.003 
5411.680 0.998 0.002 
5411.695 0.998 0.002 
5411.710 0.999 0.003 
5411.726 0.997 0.004 
5411.741 0.997 0.004 
5411.756 0.998 0.003 
5411.772 0.999 0.004 
5411.787 0.998 0.005 
5411.802 1.000 0.005 
5411.818 1.000 0.005 
5411.833 1.000 0.005 
5411.848 1.002 0.003 
5411.864 1.003 0.003 
5411.879 1.003 0.004 
5411.894 1.002 0.003 
5411.910 1.002 0.003 
5411.925 1.001 0.004 
5411.940 0.999 0.003 
5411.956 0.997 0.003 
5411.971 0.994 0.003 
5411.986 0.994 0.004 
5412.002 0.992 0.003 
5412.017 0.991 0.005 
5412.032 0.991 0.007 
5412.048 0.993 0.005 
5412.063 0.993 0.005 
5412.078 0.993 0.004 
5412.094 0.992 0.003 
5412.109 0.993 0.004 
5412.124 0.995 0.003 
5412.140 0.997 0.004 
5412.155 0.997 0.005 
5412.170 0.997 0.005 
5412.186 0.999 0.004 
5412.201 0.997 0.004 
5412.216 0.994 0.004 
5412.232 0.996 0.005 
5412.247 0.996 0.004 
5412.262 0.994 0.004 
5412.278 0.991 0.004 
5412.293 0.991 0.004 
5412.308 0.994 0.005 
5412.324 0.996 0.006 
5412.339 0.997 0.010 
5412.354 1.000 0.019 
5412.370 1.001 0.024 
5412.385 1.001 0.032 
5412.401 1.009 0.037 
5412.416 1.025 0.031 
5412.431 1.045 0.032 
5412.447 1.050 0.035 
5412.462 1.062 0.034 
5412.477 1.066 0.037 
